title,revenue,ROI,catROI,vote_average,popularity,budget,runtime,release_date,vote_count,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,Science_Fiction,Thriller,War,Western,Warner,Fox,Paramount,Disney,Sony_Columbia,Universal,MGM,Apatow,Bad_Robot,DC_Comics,DreamWorks,Marvel_Studios,MTV_Films,Pixar,The_Weinstein_Company,Nickelodeon,Tom_Hanks,Leonardo_DiCaprio,Johnny_Depp,Brad_Pitt,Daniel_Day-Lewis,Tom_Cruise,Sean_Penn,Christian_Bale,George_Clooney,Russell_Crowe,Jennifer_Lawrence,Kate_Winslet,Cate_Blanchett,Nicole_Kidman,Sandra_Bullock,Natalie_Portman,Jodie_Foster,Amy_Adams,Julia_Roberts,Emma_Thompson,Reese_Witherspoon,Charlize_Theron,Matt_Damon,Christoph_Waltz,Heath_Ledger,Kevin_Spacey,Edward_Norton,Bruce_Willis,Philip_Seymour_Hoffman,Ralph_Fiennes,Joaquin_Phoenix,Will_Smith,Angelina_Jolie,Anne_Hathaway,Marion_Cotillard,Chiwetel_Ejiofor,Matthew_McConaughey,John_Cusack,Robert_Downey_Jr.,Nicolas_Cage,Kevin_Costner,Holly_Hunter,Hilary_Swank,Diane_Lane,Frances_McDormand,Halle_Berry,Sharon_Stone,Demi_Moore,Michelle_Pfeiffer,Mel_Gibson,Jim_Carrey,Mark_Wahlberg,Javier_Bardem,Tim_Robbins,Viggo_Mortensen,Hugo_Weaving,Alec_Baldwin,Ben_Stiller,Willem_Dafoe,Drew_Barrymore,Winona_Ryder,Uma_Thurman,Annette_Bening,Judy_Davis,Gwyneth_Paltrow,Julianne_Moore,Christina_Ricci,Whoopi_Goldberg,Benicio_Del_Toro,Kevin_Bacon,Colin_Farrell,Bradley_Cooper,Jude_Law,Robert_Pattinson,Paul_Giamatti,Forest_Whitaker,Jared_Leto,Jonah_Hill,Michael_Fassbender,Helen_Hunt,Patricia_Arquette,Kate_Hudson,Catherine_Zeta-Jones,Cameron_Diaz,Lena_Headey,Toni_Collette,Laura_Linney,Emma_Watson,Meg_Ryan,Benedict_Cumberbatch,Chris_Hemsworth,Henry_Cavill,Tom_Hardy,Colin_Firth,Jamie_Foxx,Adrien_Brody,Chris_Pratt,Chlo�_Grace_Moretz,Anna_Kendrick,Emily_Watson,Helena_Bonham_Carter,Keira_Knightley,Scarlett_Johansson,Dakota_Fanning,Jennifer_Aniston,Jennifer_Connelly,Rachel_McAdams,Carey_Mulligan,Mila_Kunis,Amanda_Seyfried,Jennifer_Lopez,Neve_Campbell,Fairuza_Balk,Jessica_Alba,Kristen_Stewart,Jamie_Lee_Curtis,Emma_Stone,Kirsten_Dunst,Cuba_Gooding_Jr.,Kate_Beckinsale,Zooey_Deschanel,Michelle_Williams,Milla_Jovovich,Selena_Gomez,Rachel_Weisz,Kristen_Bell,Katherine_Heigl,Liv_Tyler,Jessica_Chastain,Megan_Fox,Eliza_Dushku,Robin_Wright,Leighton_Meester,Viola_Davis,Olivia_Thirlby,Pen�lope_Cruz,Ethan_Hawke,Ellen_Page,Vera_Farmiga,Octavia_Spencer,Melissa_Leo,Tilda_Swinton,Ren�e_Zellweger,Marcia_Gay_Harden,Anna_Paquin,Marisa_Tomei,Hugh_Grant,Keanu_Reeves,Channing_Tatum,Hugh_Jackman,Dwayne_Johnson,Adam_Sandler,Daniel_Radcliffe,Daniel_Craig,Ryan_Gosling,Vin_Diesel,Ben_Affleck,Chris_Pine,Maggie_Gyllenhaal,Katie_Holmes,Andrew_Garfield,Jeremy_Renner,Steve_Carell,Jake_Gyllenhaal,Chris_Evans,James_Franco,Zach_Galifianakis,Will_Ferrell,Shia_LaBeouf,Seth_Rogen,Joseph_Gordon-Levitt,Ryan_Reynolds,Paul_Rudd,Jason_Segel,Jason_Statham,Justin_Timberlake,Zac_Efron,Jesse_Eisenberg,Owen_Wilson,Jason_Bateman,Tyler_Perry,Quentin_Tarantino,Coen_Brothers,Christopher_Nolan,David_Fincher,Peter_Jackson,Tim_Burton,James_Cameron,Robert_Zemeckis,Ang_Lee,Steven_Soderbergh,Danny_Boyle,Sam_Raimi,Spike_Lee,Frank_Darabont,Ron_Howard,Guy_Ritchie,Gus_Van_Sant,David_O._Russell,Sam_Mendes,Guillermo_del_Toro,Paul_Thomas_Anderson,Wes_Anderson,Paul_Greengrass,John_Hughes,Robert_Rodriguez,Zack_Snyder,Mel_Gibson,Antoine_Fuqua,John_Lasseter,David_Ayer,J.J._Abrams,John_McTiernan,Darren_Aronofsky,Luc_Besson,Doug_Liman,Bryan_Singer,Richard_Linklater,Anthony_Minghella,Edgar_Wright,Cameron_Crowe,Spike_Jonze,Michael_Moore,Bobby_Farrelly,Gore_Verbinski,Jay_Roach,Jason_Reitman,Joss_Whedon,David_O._Russell,Neil_Jordan,Sofia_Coppola,Brad_Bird,David_Yates,Kevin_Smith,Lilly_Wachowski,John_Lasseter,Alexander_Payne
Paranormal Activity,193355800,12889.39,Good,5.9,47.456823,15000,86,39339,1316,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tarnation,1162014,5329.34,Good,7.5,1.063439,218,91,37913,22,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Blair Witch Project,248000000,4132.33,Good,6.3,41.690578,60000,81,36355,1055,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Super Size Me,28575078,438.62,Good,6.6,10.400603,65000,100,38003,506,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Open Water,54667954,419.52,Good,5.4,15.611857,130000,79,38205,315,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Once,20710513,128.44,Good,7.3,19.052179,160000,85,39164,453,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Primer,841926,119.28,Good,6.9,23.307949,7000,77,38268,658,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Napoleon Dynamite,46118097,114.3,Good,6.7,23.603514,400000,95,38149,554,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Facing the Giants,10178331,100.78,Good,6.6,4.563698,100000,111,38989,64,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Devil Inside,101758490,100.76,Good,4.6,13.152822,1000000,83,40914,262,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
